day0,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,target
1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
0,0,1,1,0,0,0,1,0,0,0,1,0,1,1
0,1,1,0,0,0,1,0,0,0,1,0,1,1,1
1,1,0,0,0,1,0,0,0,1,0,1,1,1,0
1,0,0,0,1,0,0,0,1,0,1,1,1,0,1
0,0,0,1,0,0,0,1,0,1,1,1,0,1,0
0,0,1,0,0,0,1,0,1,1,1,0,1,0,0
0,1,0,0,0,1,0,1,1,1,0,1,0,0,0
1,0,0,0,1,0,1,1,1,0,1,0,0,0,1
0,0,0,1,0,1,1,1,0,1,0,0,0,1,1
0,0,1,0,1,1,1,0,1,0,0,0,1,1,1
0,1,0,1,1,1,0,1,0,0,0,1,1,1,0
1,0,1,1,1,0,1,0,0,0,1,1,1,0,1
0,1,1,1,0,1,0,0,0,1,1,1,0,1,1
1,1,1,0,1,0,0,0,1,1,1,0,1,1,0
1,1,0,1,0,0,0,1,1,1,0,1,1,0,1
1,0,1,0,0,0,1,1,1,0,1,1,0,1,1
0,1,0,0,0,1,1,1,0,1,1,0,1,1,0
1,0,0,0,1,1,1,0,1,1,0,1,1,0,1
0,0,0,1,1,1,0,1,1,0,1,1,0,1,0
0,0,1,1,1,0,1,1,0,1,1,0,1,0,0
0,1,1,1,0,1,1,0,1,1,0,1,0,0,1
1,1,1,0,1,1,0,1,1,0,1,0,0,1,0
1,1,0,1,1,0,1,1,0,1,0,0,1,0,1
1,0,1,1,0,1,1,0,1,0,0,1,0,1,1
0,1,1,0,1,1,0,1,0,0,1,0,1,1,0
1,1,0,1,1,0,1,0,0,1,0,1,1,0,1
1,0,1,1,0,1,0,0,1,0,1,1,0,1,1
0,1,1,0,1,0,0,1,0,1,1,0,1,1,1
1,1,0,1,0,0,1,0,1,1,0,1,1,1,0
1,0,1,0,0,1,0,1,1,0,1,1,1,0,0
0,1,0,0,1,0,1,1,0,1,1,1,0,0,1
1,0,0,1,0,1,1,0,1,1,1,0,0,1,0
0,0,1,0,1,1,0,1,1,1,0,0,1,0,0
0,1,0,1,1,0,1,1,1,0,0,1,0,0,0
1,0,1,1,0,1,1,1,0,0,1,0,0,0,0
0,1,1,0,1,1,1,0,0,1,0,0,0,0,1
1,1,0,1,1,1,0,0,1,0,0,0,0,1,0
1,0,1,1,1,0,0,1,0,0,0,0,1,0,1
0,1,1,1,0,0,1,0,0,0,0,1,0,1,0
1,1,1,0,0,1,0,0,0,0,1,0,1,0,1
1,1,0,0,1,0,0,0,0,1,0,1,0,1,1
1,0,0,1,0,0,0,0,1,0,1,0,1,1,1
0,0,1,0,0,0,0,1,0,1,0,1,1,1,1
0,1,0,0,0,0,1,0,1,0,1,1,1,1,1
1,0,0,0,0,1,0,1,0,1,1,1,1,1,1
0,0,0,0,1,0,1,0,1,1,1,1,1,1,1
0,0,0,1,0,1,0,1,1,1,1,1,1,1,0
0,0,1,0,1,0,1,1,1,1,1,1,1,0,1
0,1,0,1,0,1,1,1,1,1,1,1,0,1,0
1,0,1,0,1,1,1,1,1,1,1,0,1,0,0
0,1,0,1,1,1,1,1,1,1,0,1,0,0,1
1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
0,1,1,1,1,1,1,1,0,1,0,0,1,1,0
1,1,1,1,1,1,1,0,1,0,0,1,1,0,1
1,1,1,1,1,1,0,1,0,0,1,1,0,1,0
1,1,1,1,1,0,1,0,0,1,1,0,1,0,0
1,1,1,1,0,1,0,0,1,1,0,1,0,0,0
1,1,1,0,1,0,0,1,1,0,1,0,0,0,1
1,1,0,1,0,0,1,1,0,1,0,0,0,1,0
1,0,1,0,0,1,1,0,1,0,0,0,1,0,0
0,1,0,0,1,1,0,1,0,0,0,1,0,0,1
1,0,0,1,1,0,1,0,0,0,1,0,0,1,1
0,0,1,1,0,1,0,0,0,1,0,0,1,1,1
0,1,1,0,1,0,0,0,1,0,0,1,1,1,0
1,1,0,1,0,0,0,1,0,0,1,1,1,0,1
1,0,1,0,0,0,1,0,0,1,1,1,0,1,0
0,1,0,0,0,1,0,0,1,1,1,0,1,0,1
1,0,0,0,1,0,0,1,1,1,0,1,0,1,1
0,0,0,1,0,0,1,1,1,0,1,0,1,1,0
0,0,1,0,0,1,1,1,0,1,0,1,1,0,1
0,1,0,0,1,1,1,0,1,0,1,1,0,1,1
1,0,0,1,1,1,0,1,0,1,1,0,1,1,0
0,0,1,1,1,0,1,0,1,1,0,1,1,0,1
