token,create_date;event_date;prev_1days;prev_2days;prev_3days;prev_4days;prev_5days;prev_6days;prev_7days;prev_8days;prev_9days;prev_10days;prev_11days;prev_12days;prev_13days
btc,2021-06-20T01:30:08.180856;2021-06-20T01:30:08.180856;1;1;0;0;0;0;1;1;0;0;0;1;0
btc,2021-06-19T01:30:08.180856;2021-06-19T01:30:08.180856;1;0;0;0;0;1;1;0;0;0;1;0;0
btc,2021-06-18T01:30:08.180856;2021-06-18T01:30:08.180856;0;0;0;0;1;1;0;0;0;1;0;0;0
btc,2021-06-17T01:30:08.180856;2021-06-17T01:30:08.180856;0;0;0;1;1;0;0;0;1;0;0;0;1
btc,2021-06-16T01:30:08.180856;2021-06-16T01:30:08.180856;0;0;1;1;0;0;0;1;0;0;0;1;0
btc,2021-06-15T01:30:08.180856;2021-06-15T01:30:08.180856;0;1;1;0;0;0;1;0;0;0;1;0;1
btc,2021-06-14T01:30:08.180856;2021-06-14T01:30:08.180856;1;1;0;0;0;1;0;0;0;1;0;1;1
btc,2021-06-13T01:30:08.180856;2021-06-13T01:30:08.180856;1;0;0;0;1;0;0;0;1;0;1;1;1
btc,2021-06-12T01:30:08.180856;2021-06-12T01:30:08.180856;0;0;0;1;0;0;0;1;0;1;1;1;0
btc,2021-06-11T01:30:08.180856;2021-06-11T01:30:08.180856;0;0;1;0;0;0;1;0;1;1;1;0;1
btc,2021-06-10T01:30:08.180856;2021-06-10T01:30:08.180856;0;1;0;0;0;1;0;1;1;1;0;1;0
btc,2021-06-09T01:30:08.180856;2021-06-09T01:30:08.180856;1;0;0;0;1;0;1;1;1;0;1;0;0
btc,2021-06-08T01:30:08.180856;2021-06-08T01:30:08.180856;0;0;0;1;0;1;1;1;0;1;0;0;0
